_time;dvc_name;src_ip;dest_ip;dest_port;application
2026-06-17T10:26:56.100+0000;IE1ENSFW01;10.145.2.51;10.246.67.214;42212;incomplete
2026-06-17T09:49:07.100+0000;IE1ENSFW01;10.145.2.51;10.246.68.198;33802;incomplete
2026-06-17T12:24:31.100+0000;IE1ENSFW01;10.145.2.142;10.246.64.158;47026;incomplete
2026-06-17T12:14:54.100+0000;IE1ENSFW01;10.145.2.142;10.246.69.224;43394;incomplete
2026-06-17T12:03:02.100+0000;IE1ENSFW01;10.145.2.142;10.246.69.114;60126;incomplete
2026-06-17T11:47:30.100+0000;IE1ENSFW01;10.145.2.142;10.246.64.249;56602;incomplete
2026-06-17T11:33:57.100+0000;IE1ENSFW01;10.145.2.142;10.246.65.229;54692;incomplete
2026-06-17T11:30:02.100+0000;IE1ENSFW01;10.145.2.142;10.246.65.6;55736;incomplete
2026-06-17T11:29:58.100+0000;IE1ENSFW01;10.145.2.142;10.246.64.68;46950;incomplete
2026-06-17T11:14:02.100+0000;IE1ENSFW01;10.145.2.142;10.246.67.214;60198;incomplete
2026-06-17T10:52:36.100+0000;IE1ENSFW01;10.145.2.142;10.246.66.156;34844;incomplete
2026-06-17T10:44:38.100+0000;IE1ENSFW01;10.145.2.142;10.246.69.109;56698;incomplete
2026-06-17T12:24:31.100+0000;IE1ENSFW01;10.145.1.49;10.175.122.40;50745;incomplete
2026-06-17T12:23:53.100+0000;IE1ENSFW01;10.178.132.70;10.44.216.24;59976;non-syn-tcp
2026-06-17T12:23:29.100+0000;IE1ENSFW01;10.83.128.24;10.175.189.59;62144;incomplete
2026-06-17T10:57:29.100+0000;IE1ENSFW01;10.83.128.24;172.30.10.36;37426;incomplete
2026-06-17T10:31:29.100+0000;IE1ENSFW01;10.83.128.24;10.175.189.184;62427;incomplete
2026-06-17T12:22:49.100+0000;IE1ENSFW01;10.178.133.209;10.44.171.230;39662;non-syn-tcp
2026-06-17T12:05:42.100+0000;IE1ENSFW01;10.178.133.209;10.44.162.45;13036;non-syn-tcp
2026-06-17T10:15:10.100+0000;IE1ENSFW01;10.178.133.209;10.44.201.108;12437;non-syn-tcp
2026-06-17T12:22:44.100+0000;IE1ENSFW01;10.178.99.180;10.44.216.24;6884;non-syn-tcp
2026-06-17T12:15:40.100+0000;IE1ENSFW01;10.178.99.180;10.44.167.179;1876;non-syn-tcp
2026-06-17T12:03:43.100+0000;IE1ENSFW01;10.178.99.180;10.44.162.45;27189;non-syn-tcp
2026-06-17T12:22:44.100+0000;IE1ENSFW01;10.178.99.187;10.44.216.24;6561;non-syn-tcp
2026-06-17T12:15:40.100+0000;IE1ENSFW01;10.178.99.187;10.44.167.179;39132;non-syn-tcp
2026-06-17T12:03:42.100+0000;IE1ENSFW01;10.178.99.187;10.44.162.45;28085;non-syn-tcp
2026-06-17T12:22:44.100+0000;IE1ENSFW01;10.178.99.172;10.44.216.24;64677;non-syn-tcp
2026-06-17T12:15:41.100+0000;IE1ENSFW01;10.178.99.172;10.44.167.179;52050;non-syn-tcp
2026-06-17T12:03:43.100+0000;IE1ENSFW01;10.178.99.172;10.44.162.45;19984;non-syn-tcp
2026-06-17T12:22:39.100+0000;IE1ENSFW01;10.145.4.164;10.246.180.184;39818;incomplete
2026-06-17T12:16:52.100+0000;IE1ENSFW01;10.145.4.164;10.246.184.197;53614;incomplete
2026-06-17T11:59:02.100+0000;IE1ENSFW01;10.145.4.164;10.246.179.177;40176;incomplete
2026-06-17T11:55:04.100+0000;IE1ENSFW01;10.145.4.164;10.246.179.99;60748;incomplete
2026-06-17T11:49:15.100+0000;IE1ENSFW01;10.145.4.164;10.246.177.198;52356;incomplete
2026-06-17T11:39:15.100+0000;IE1ENSFW01;10.145.4.164;10.246.181.53;37188;incomplete
2026-06-17T09:49:47.100+0000;IE1ENSFW01;10.145.4.164;10.246.180.161;50474;incomplete
2026-06-17T12:20:55.100+0000;IE1ENSFW01;10.42.9.165;10.174.209.85;3389;ms-rdp
2026-06-17T11:50:55.100+0000;IE1ENSFW01;10.42.9.165;10.174.209.17;3389;ms-rdp
2026-06-17T10:50:55.100+0000;IE1ENSFW01;10.42.9.165;10.174.208.102;3389;ms-rdp
2026-06-17T12:20:54.100+0000;IE1ENSFW01;10.40.9.165;10.174.209.17;3389;ms-rdp
2026-06-17T12:20:54.100+0000;IE1ENSFW01;10.40.9.165;10.174.208.102;3389;ms-rdp
2026-06-17T11:51:10.100+0000;IE1ENSFW01;10.40.9.165;10.174.209.85;3389;ms-rdp
2026-06-17T12:20:16.100+0000;IE1ENSFW01;10.118.62.241;10.44.167.179;3033;non-syn-tcp
